code,title,timing,scope,severity,score,invasive,taxonid_iucn
1.1,Housing & urban areas,Ongoing,,,Low Impact: 3,,41226
2.1,Annual & perennial non-timber crops,Ongoing,,,Low Impact: 3,,41226
2.1.2,Small-holder farming,Ongoing,,,Low Impact: 3,,41226
2.1.3,Agro-industry farming,Ongoing,,,Low Impact: 3,,41226
3.2,Mining & quarrying,Future,,,No/Negligible Impact: 1,,41226
5.3,Logging & wood harvesting,Ongoing,,,Low Impact: 3,,41226
5.3.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,,,Low Impact: 3,,41226
1.1,Housing & urban areas,Ongoing,,,Low Impact: 3,,79934933
1.3,Tourism & recreation areas,Future,,,No/Negligible Impact: 1,,79934933
2.2,Wood & pulp plantations,Ongoing,,,Low Impact: 3,,79934933
2.2.2,Agro-industry plantations,Ongoing,,,Low Impact: 3,,79934933
5.3,Logging & wood harvesting,Ongoing,,,Low Impact: 3,,79934933
5.3.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,,,Low Impact: 3,,79934933
5.3.4,Unintentional effects: (large scale) [harvest],Ongoing,,,Low Impact: 3,,79934933
1.1,Housing & urban areas,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,,816
2.1,Annual & perennial non-timber crops,Ongoing,Majority (50-90%),Negligible declines,Low Impact: 5,,816
2.1.1,Shifting agriculture,Ongoing,Majority (50-90%),Negligible declines,Low Impact: 5,,816
2.3,Livestock farming & ranching,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,,816
2.3.4,Scale Unknown/Unrecorded,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,,816
5.1,Hunting & trapping terrestrial animals,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,,816
5.1.1,Intentional use (species is the target),Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,,816
2.3,Livestock farming & ranching,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,,809
