code,title,timing,scope,severity,score,invasive,taxonid_iucn
2.1,Annual & perennial non-timber crops,Ongoing,,,Low Impact: 3,,19542
2.1.4,Scale Unknown/Unrecorded,Ongoing,,,Low Impact: 3,,19542
2.2,Wood & pulp plantations,Ongoing,,,Low Impact: 3,,19542
2.2.3,Scale Unknown/Unrecorded,Ongoing,,,Low Impact: 3,,19542
3.2,Mining & quarrying,Ongoing,,,Low Impact: 3,,19542
5.1,Hunting & trapping terrestrial animals,Ongoing,,,Low Impact: 3,,19542
5.1.2,Unintentional effects (species is not the target),Ongoing,,,Low Impact: 3,,19542
2.1,Annual & perennial non-timber crops,Ongoing,,,Low Impact: 3,,82347204
2.1.1,Shifting agriculture,Ongoing,,,Low Impact: 3,,82347204
2.1.2,Small-holder farming,Ongoing,,,Low Impact: 3,,82347204
5.1,Hunting & trapping terrestrial animals,Ongoing,,,Low Impact: 3,,82347204
5.1.1,Intentional use (species is the target),Ongoing,,,Low Impact: 3,,82347204
5.3,Logging & wood harvesting,Ongoing,,,Low Impact: 3,,82347204
5.3.5,Motivation Unknown/Unrecorded,Ongoing,,,Low Impact: 3,,82347204
6.3,Work & other activities,Ongoing,,,Low Impact: 3,,82347204
2.1,Annual & perennial non-timber crops,Ongoing,,,Low Impact: 3,,64588047
2.1.2,Small-holder farming,Ongoing,,,Low Impact: 3,,64588047
2.2,Wood & pulp plantations,Ongoing,,,Low Impact: 3,,64588047
2.2.1,Small-holder plantations,Ongoing,,,Low Impact: 3,,64588047
5.3,Logging & wood harvesting,Ongoing,,,Low Impact: 3,,64588047
5.3.5,Motivation Unknown/Unrecorded,Ongoing,,,Low Impact: 3,,64588047
7.1,Fire & fire suppression,Ongoing,,,Low Impact: 3,,64588047
7.1.3,Trend Unknown/Unrecorded,Ongoing,,,Low Impact: 3,,64588047
2.1,Annual & perennial non-timber crops,Ongoing,,,Low Impact: 3,,19549
2.1.4,Scale Unknown/Unrecorded,Ongoing,,,Low Impact: 3,,19549
2.2,Wood & pulp plantations,Ongoing,,,Low Impact: 3,,19549
2.2.3,Scale Unknown/Unrecorded,Ongoing,,,Low Impact: 3,,19549
3.2,Mining & quarrying,Ongoing,,,Low Impact: 3,,19549
5.1,Hunting & trapping terrestrial animals,Ongoing,,,Low Impact: 3,,19549
5.1.1,Intentional use (species is the target),Ongoing,,,Low Impact: 3,,19549
6.3,Work & other activities,Ongoing,,,Low Impact: 3,,19549
5.3,Logging & wood harvesting,Ongoing,,,Low Impact: 3,,136248
5.3.5,Motivation Unknown/Unrecorded,Ongoing,,,Low Impact: 3,,136248
6.3,Work & other activities,Ongoing,,Unknown,Unknown,,136248
1.3,Tourism & recreation areas,Ongoing,,,Low Impact: 3,,85707170
2.1,Annual & perennial non-timber crops,Ongoing,,,Low Impact: 3,,85707170
2.1.1,Shifting agriculture,Ongoing,,,Low Impact: 3,,85707170
5.3,Logging & wood harvesting,Ongoing,,,Low Impact: 3,,85707170
5.3.5,Motivation Unknown/Unrecorded,Ongoing,,,Low Impact: 3,,85707170
6.1,Recreational activities,Ongoing,,,Low Impact: 3,,85707170
5.3,Logging & wood harvesting,Ongoing,,,Low Impact: 3,,84372306
5.3.5,Motivation Unknown/Unrecorded,Ongoing,,,Low Impact: 3,,84372306
6.3,Work & other activities,Ongoing,,,Low Impact: 3,,84372306
1.1,Housing & urban areas,Ongoing,,,Low Impact: 3,,19562
2.1,Annual & perennial non-timber crops,Ongoing,,,Low Impact: 3,,19562
2.1.4,Scale Unknown/Unrecorded,Ongoing,,,Low Impact: 3,,19562
2.2,Wood & pulp plantations,Ongoing,,,Low Impact: 3,,19562
2.2.3,Scale Unknown/Unrecorded,Ongoing,,,Low Impact: 3,,19562
2.1,Annual & perennial non-timber crops,Ongoing,,,Low Impact: 3,,44784
2.1.4,Scale Unknown/Unrecorded,Ongoing,,,Low Impact: 3,,44784
2.2,Wood & pulp plantations,Ongoing,,,Low Impact: 3,,44784
2.2.3,Scale Unknown/Unrecorded,Ongoing,,,Low Impact: 3,,44784
3.2,Mining & quarrying,Ongoing,,,Low Impact: 3,,44784
5.1,Hunting & trapping terrestrial animals,Ongoing,,,Low Impact: 3,,44784
5.1.2,Unintentional effects (species is not the target),Ongoing,,,Low Impact: 3,,44784
2.1,Annual & perennial non-timber crops,Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,,82346260
2.1.2,Small-holder farming,Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,,82346260
2.2,Wood & pulp plantations,Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,,82346260
2.2.1,Small-holder plantations,Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,,82346260
5.1,Hunting & trapping terrestrial animals,Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,,82346260
5.1.1,Intentional use (species is the target),Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,,82346260
5.3,Logging & wood harvesting,Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,,82346260
5.3.5,Motivation Unknown/Unrecorded,Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,,82346260
6.3,Work & other activities,Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,,82346260
2.1,Annual & perennial non-timber crops,Ongoing,,,Low Impact: 3,,44786
2.1.4,Scale Unknown/Unrecorded,Ongoing,,,Low Impact: 3,,44786
2.2,Wood & pulp plantations,Ongoing,,,Low Impact: 3,,44786
2.2.3,Scale Unknown/Unrecorded,Ongoing,,,Low Impact: 3,,44786
3.2,Mining & quarrying,Ongoing,,,Low Impact: 3,,44786
5.1,Hunting & trapping terrestrial animals,Future,,,No/Negligible Impact: 1,,44786
5.1.2,Unintentional effects (species is not the target),Future,,,No/Negligible Impact: 1,,44786
11.2,Droughts,Ongoing,Unknown,Unknown,Unknown,,197177
2.1,Annual & perennial non-timber crops,Ongoing,Unknown,Unknown,Unknown,,197177
2.1.3,Agro-industry farming,Ongoing,Unknown,Unknown,Unknown,,197177
9.3,Agricultural & forestry effluents,Ongoing,Unknown,Unknown,Unknown,,197177
9.3.3,Herbicides and pesticides,Ongoing,Unknown,Unknown,Unknown,,197177
1.1,Housing & urban areas,Ongoing,Unknown,Unknown,Unknown,,197176
2.1,Annual & perennial non-timber crops,Ongoing,Unknown,Unknown,Unknown,,197176
2.1.3,Agro-industry farming,Ongoing,Unknown,Unknown,Unknown,,197176
1.1,Housing & urban areas,Ongoing,Unknown,Unknown,Unknown,,178286
2.1,Annual & perennial non-timber crops,Ongoing,Unknown,Unknown,Unknown,,178286
2.1.3,Agro-industry farming,Ongoing,Unknown,Unknown,Unknown,,178286
9.3,Agricultural & forestry effluents,Ongoing,Unknown,Unknown,Unknown,,178286
9.3.3,Herbicides and pesticides,Ongoing,Unknown,Unknown,Unknown,,178286
2.1,Annual & perennial non-timber crops,Ongoing,Unknown,Unknown,Unknown,,197174
2.1.3,Agro-industry farming,Ongoing,Unknown,Unknown,Unknown,,197174
8.1,Invasive non-native/alien species/diseases (Gallus gallus ssp. domesticus),Ongoing,,,Low Impact: 3,Gallus gallus ssp. domesticus,197174
