code,title,timing,scope,severity,score,invasive,taxonid_iucn
11.4,Storms & flooding,Ongoing,Whole (>90%),Causing/Could cause fluctuations,Medium Impact: 7,,18267
1.3,Tourism & recreation areas,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,,18267
4.1,Roads & railroads,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,,18267
8.1,Invasive non-native/alien species/diseases,Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,,18267
8.1,Invasive non-native/alien species/diseases (Boa constrictor),Ongoing,,,Low Impact: 3,Boa constrictor,18267
8.1,Invasive non-native/alien species/diseases (Canis familiaris),Ongoing,,,Low Impact: 3,Canis familiaris,18267
8.1,Invasive non-native/alien species/diseases (Procyon lotor),Ongoing,,,Low Impact: 3,Procyon lotor,18267
8.1.1,Unspecified species,Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,,18267
8.1.2,Named species (Boa constrictor),Ongoing,,,Low Impact: 3,Boa constrictor,18267
8.1.2,Named species (Canis familiaris),Ongoing,,,Low Impact: 3,Canis familiaris,18267
8.1.2,Named species (Procyon lotor),Ongoing,,,Low Impact: 3,Procyon lotor,18267
11.1,Habitat shifting & alteration,Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,,199542
11.2,Droughts,Ongoing,Whole (>90%),Unknown,Unknown,,199542
8.1,Invasive non-native/alien species/diseases (Cinnamomum verum),Ongoing,Whole (>90%),Rapid Declines,High Impact: 8,Cinnamomum verum,199542
8.1.2,Named species (Cinnamomum verum),Ongoing,Whole (>90%),Rapid Declines,High Impact: 8,Cinnamomum verum,199542
5.3,Logging & wood harvesting,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,,103899231
5.3.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,,103899231
6.1,Recreational activities,Ongoing,Minority (<50%),Negligible declines,Low Impact: 4,,103899231
