code,title,timing,scope,severity,score,invasive,taxonid_iucn
1.3,Tourism & recreation areas,Ongoing,,,Low Impact: 3,,41032
3.2,Mining & quarrying,Ongoing,,,Low Impact: 3,,41032
6.1,Recreational activities,Ongoing,,,Low Impact: 3,,41032
7.2,Dams & water management/use,Ongoing,,,Low Impact: 3,,41032
7.2.5,Abstraction of ground water (domestic use),Ongoing,,,Low Impact: 3,,41032
7.2.6,Abstraction of ground water (commercial use),Ongoing,,,Low Impact: 3,,41032
8.1,Invasive non-native/alien species/diseases (Unspecified Gambusia),Ongoing,,,Low Impact: 3,Unspecified Gambusia,41032
8.1.2,Named species (Unspecified Gambusia),Ongoing,,,Low Impact: 3,Unspecified Gambusia,41032
9.1,Domestic & urban waste water,Ongoing,,,Low Impact: 3,,41032
9.1.3,Type Unknown/Unrecorded,Ongoing,,,Low Impact: 3,,41032
9.2,Industrial & military effluents,Ongoing,,,Low Impact: 3,,41032
9.2.3,Type Unknown/Unrecorded,Ongoing,,,Low Impact: 3,,41032
11.3,Temperature extremes,Ongoing,,,Low Impact: 3,,14969
1.3,Tourism & recreation areas,Ongoing,,,Low Impact: 3,,14969
5.3,Logging & wood harvesting,"Past, Unlikely to Return",,,Past Impact,,14969
5.3.5,Motivation Unknown/Unrecorded,"Past, Unlikely to Return",,,Past Impact,,14969
6.1,Recreational activities,Future,,,No/Negligible Impact: 1,,14969
7.2,Dams & water management/use,Future,,,No/Negligible Impact: 1,,14969
7.2.11,Dams (size unknown),Future,,,No/Negligible Impact: 1,,14969
8.1,Invasive non-native/alien species/diseases (Batrachochytrium dendrobatidis),Ongoing,,,Low Impact: 3,Batrachochytrium dendrobatidis,14969
8.1,Invasive non-native/alien species/diseases (Sus domesticus),Ongoing,,,Low Impact: 3,Sus domesticus,14969
8.1.2,Named species (Batrachochytrium dendrobatidis),Ongoing,,,Low Impact: 3,Batrachochytrium dendrobatidis,14969
8.1.2,Named species (Sus domesticus),Ongoing,,,Low Impact: 3,Sus domesticus,14969
8.5,Viral/prion-induced diseases,Ongoing,,,Low Impact: 3,,14969
8.5.1,Unspecified species,Ongoing,,,Low Impact: 3,,14969
5.3,Logging & wood harvesting,"Past, Unlikely to Return",,,Past Impact,,12148
5.3.5,Motivation Unknown/Unrecorded,"Past, Unlikely to Return",,,Past Impact,,12148
6.1,Recreational activities,Ongoing,,,Low Impact: 3,,12148
8.1,Invasive non-native/alien species/diseases (Batrachochytrium dendrobatidis),Ongoing,,,Low Impact: 3,Batrachochytrium dendrobatidis,12148
8.1,Invasive non-native/alien species/diseases (Sus domesticus),Ongoing,,,Low Impact: 3,Sus domesticus,12148
8.1.2,Named species (Batrachochytrium dendrobatidis),Ongoing,,,Low Impact: 3,Batrachochytrium dendrobatidis,12148
8.1.2,Named species (Sus domesticus),Ongoing,,,Low Impact: 3,Sus domesticus,12148
8.5,Viral/prion-induced diseases,Ongoing,,,Low Impact: 3,,12148
8.5.1,Unspecified species,Ongoing,,,Low Impact: 3,,12148
1.1,Housing & urban areas,Ongoing,,,Low Impact: 3,,12152
11.2,Droughts,"Past, Unlikely to Return",,,Past Impact,,12152
11.5,Other impacts,Ongoing,,,Low Impact: 3,,12152
1.2,Commercial & industrial areas,Ongoing,,,Low Impact: 3,,12152
4.1,Roads & railroads,Ongoing,,,Low Impact: 3,,12152
7.2,Dams & water management/use,Ongoing,,,Low Impact: 3,,12152
7.2.8,Abstraction of ground water (unknown use),Ongoing,,,Low Impact: 3,,12152
8.1,Invasive non-native/alien species/diseases,Ongoing,,,Low Impact: 3,,12152
8.1,Invasive non-native/alien species/diseases (Batrachochytrium dendrobatidis),Ongoing,,,Low Impact: 3,Batrachochytrium dendrobatidis,12152
8.1,Invasive non-native/alien species/diseases (Unspecified Gambusia),Ongoing,,,Low Impact: 3,Unspecified Gambusia,12152
8.1.1,Unspecified species,Ongoing,,,Low Impact: 3,,12152
8.1.2,Named species (Batrachochytrium dendrobatidis),Ongoing,,,Low Impact: 3,Batrachochytrium dendrobatidis,12152
8.1.2,Named species (Unspecified Gambusia),Ongoing,,,Low Impact: 3,Unspecified Gambusia,12152
9.2,Industrial & military effluents,Ongoing,,,Low Impact: 3,,12152
9.2.3,Type Unknown/Unrecorded,Ongoing,,,Low Impact: 3,,12152
9.3,Agricultural & forestry effluents,Ongoing,,,Low Impact: 3,,12152
9.3.4,Type Unknown/Unrecorded,Ongoing,,,Low Impact: 3,,12152
9.5,Air-borne pollutants,Ongoing,,,Low Impact: 3,,12152
9.5.3,Ozone,Ongoing,,,Low Impact: 3,,12152
1.3,Tourism & recreation areas,Ongoing,,,Low Impact: 3,,12153
4.1,Roads & railroads,Ongoing,,,Low Impact: 3,,12153
5.3,Logging & wood harvesting,"Past, Unlikely to Return",,,Past Impact,,12153
5.3.5,Motivation Unknown/Unrecorded,"Past, Unlikely to Return",,,Past Impact,,12153
6.1,Recreational activities,Future,,,No/Negligible Impact: 1,,12153
7.2,Dams & water management/use,Future,,,No/Negligible Impact: 1,,12153
7.2.11,Dams (size unknown),Future,,,No/Negligible Impact: 1,,12153
8.1,Invasive non-native/alien species/diseases (Batrachochytrium dendrobatidis),Ongoing,,,Low Impact: 3,Batrachochytrium dendrobatidis,12153
8.1,Invasive non-native/alien species/diseases (Sus domesticus),Ongoing,,,Low Impact: 3,Sus domesticus,12153
8.1.2,Named species (Batrachochytrium dendrobatidis),Ongoing,,,Low Impact: 3,Batrachochytrium dendrobatidis,12153
8.1.2,Named species (Sus domesticus),Ongoing,,,Low Impact: 3,Sus domesticus,12153
8.5,Viral/prion-induced diseases,Ongoing,,,Low Impact: 3,,12153
8.5.1,Unspecified species,Ongoing,,,Low Impact: 3,,12153
9.5,Air-borne pollutants,Ongoing,,,Low Impact: 3,,12153
9.5.3,Ozone,Ongoing,,,Low Impact: 3,,12153
2.1,Annual & perennial non-timber crops,Ongoing,Unknown,Unknown,Unknown,,73727511
2.1,Annual & perennial non-timber crops,Unknown,Unknown,Unknown,Unknown,,73727511
2.1.1,Shifting agriculture,Ongoing,Unknown,Unknown,Unknown,,73727511
2.1.2,Small-holder farming,Ongoing,Unknown,Unknown,Unknown,,73727511
2.1.4,Scale Unknown/Unrecorded,Unknown,Unknown,Unknown,Unknown,,73727511
5.3,Logging & wood harvesting,Unknown,Unknown,Unknown,Unknown,,73727511
5.3.3,Unintentional effects: (subsistence/small scale) [harvest],Unknown,Unknown,Unknown,Unknown,,73727511
