taxonid_iucn,code,title,timing,scope,severity,score,invasive
15988,11.1,Habitat shifting & alteration,Ongoing,,,Low Impact: 3,
15988,2.3,Livestock farming & ranching,Ongoing,,,Low Impact: 3,
15988,2.3.4,Scale Unknown/Unrecorded,Ongoing,,,Low Impact: 3,
15988,5.3,Logging & wood harvesting,Ongoing,,,Low Impact: 3,
15988,5.3.5,Motivation Unknown/Unrecorded,Ongoing,,,Low Impact: 3,
122530997,11.4,Storms & flooding,Ongoing,Unknown,Unknown,Unknown,
122530997,5.3,Logging & wood harvesting,Ongoing,Unknown,Unknown,Unknown,
122530997,5.3.5,Motivation Unknown/Unrecorded,Ongoing,Unknown,Unknown,Unknown,
122540322,2.1,Annual & perennial non-timber crops,Ongoing,Unknown,Unknown,Unknown,
122540322,2.1.4,Scale Unknown/Unrecorded,Ongoing,Unknown,Unknown,Unknown,
122540322,5.1,Hunting & trapping terrestrial animals,Ongoing,Unknown,Unknown,Unknown,
122540322,5.1.1,Intentional use (species is the target),Ongoing,Unknown,Unknown,Unknown,
155612,11.2,Droughts,Ongoing,,,Low Impact: 3,
155612,7.2,Dams & water management/use,Ongoing,,,Low Impact: 3,
155612,7.2.3,Abstraction of surface water (agricultural use),Ongoing,,,Low Impact: 3,
155612,8.1,Invasive non-native/alien species/diseases,Ongoing,,,Low Impact: 3,
155612,8.1.1,Unspecified species,Ongoing,,,Low Impact: 3,
155612,9.1,Domestic & urban waste water,Ongoing,,,Low Impact: 3,
155612,9.1.1,Sewage,Ongoing,,,Low Impact: 3,
155612,9.3,Agricultural & forestry effluents,Ongoing,,,Low Impact: 3,
155612,9.3.1,Nutrient loads,Ongoing,,,Low Impact: 3,
155612,9.3.3,Herbicides and pesticides,Ongoing,,,Low Impact: 3,
79,11.2,Droughts,Ongoing,Unknown,Causing/Could cause fluctuations,Unknown,
79,7.2,Dams & water management/use,Ongoing,Majority (50-90%),Very Rapid Declines,High Impact: 8,
79,7.2.9,Small dams,Ongoing,Majority (50-90%),Very Rapid Declines,High Impact: 8,
79,9.2,Industrial & military effluents,Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,
79,9.2.2,Seepage from mining,Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,
79,9.3,Agricultural & forestry effluents,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,
79,9.3.1,Nutrient loads,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,
79,9.3.3,Herbicides and pesticides,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,
60827,11.2,Droughts,Ongoing,,,Low Impact: 3,
60827,7.2,Dams & water management/use,Ongoing,,,Low Impact: 3,
60827,7.2.11,Dams (size unknown),Ongoing,,,Low Impact: 3,
60827,7.2.8,Abstraction of ground water (unknown use),Ongoing,,,Low Impact: 3,
60827,8.1,Invasive non-native/alien species/diseases,Ongoing,,,Low Impact: 3,
60827,8.1.1,Unspecified species,Ongoing,,,Low Impact: 3,
154986,1.1,Housing & urban areas,Ongoing,Unknown,Unknown,Unknown,
154986,1.3,Tourism & recreation areas,Ongoing,Unknown,Unknown,Unknown,
154986,3.2,Mining & quarrying,Ongoing,Unknown,Unknown,Unknown,
154986,9.1,Domestic & urban waste water,Ongoing,Unknown,Unknown,Unknown,
154986,9.1.1,Sewage,Ongoing,Unknown,Unknown,Unknown,
154986,9.2,Industrial & military effluents,Ongoing,Unknown,Unknown,Unknown,
154986,9.2.3,Type Unknown/Unrecorded,Ongoing,Unknown,Unknown,Unknown,
40652,1.1,Housing & urban areas,Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,
40652,11.2,Droughts,Ongoing,Whole (>90%),Causing/Could cause fluctuations,Medium Impact: 7,
40652,2.1,Annual & perennial non-timber crops,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
40652,2.1.1,Shifting agriculture,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
40652,2.1.2,Small-holder farming,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
40652,3.2,Mining & quarrying,Future,Unknown,Causing/Could cause fluctuations,Unknown,
40652,4.2,Utility & service lines,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,
40652,5.3,Logging & wood harvesting,Ongoing,Whole (>90%),Rapid Declines,High Impact: 8,
40652,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,Whole (>90%),Rapid Declines,High Impact: 8,
40652,7.1,Fire & fire suppression,Ongoing,Whole (>90%),Causing/Could cause fluctuations,Medium Impact: 7,
40652,7.1.3,Trend Unknown/Unrecorded,Ongoing,Whole (>90%),Causing/Could cause fluctuations,Medium Impact: 7,
136924,1.1,Housing & urban areas,Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,
136924,1.3,Tourism & recreation areas,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
136924,2.1,Annual & perennial non-timber crops,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
136924,2.1.1,Shifting agriculture,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
136924,2.1.2,Small-holder farming,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
136924,2.2,Wood & pulp plantations,Future,Minority (<50%),"Slow, Significant Declines",Low Impact: 3,
136924,2.2.1,Small-holder plantations,Future,Minority (<50%),"Slow, Significant Declines",Low Impact: 3,
136924,2.3,Livestock farming & ranching,Ongoing,,,Low Impact: 3,
136924,2.3.2,"Small-holder grazing, ranching or farming",Ongoing,,,Low Impact: 3,
136924,5.3,Logging & wood harvesting,Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,
136924,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,
136924,7.1,Fire & fire suppression,Ongoing,,,Low Impact: 3,
136924,7.1.3,Trend Unknown/Unrecorded,Ongoing,,,Low Impact: 3,
122904093,7.2,Dams & water management/use,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,
122904093,7.2.2,Abstraction of surface water (commercial use),Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,
122904093,8.1,Invasive non-native/alien species/diseases (Oncorhynchus mykiss),Ongoing,Majority (50-90%),Negligible declines,Low Impact: 5,Oncorhynchus mykiss
122904093,8.1,Invasive non-native/alien species/diseases (Perca fluviatilis),Future,Majority (50-90%),Rapid Declines,Low Impact: 5,Perca fluviatilis
122904093,8.1,Invasive non-native/alien species/diseases (Salmo trutta),Ongoing,Whole (>90%),Causing/Could cause fluctuations,Medium Impact: 7,Salmo trutta
122904093,8.1.2,Named species (Oncorhynchus mykiss),Ongoing,Majority (50-90%),Negligible declines,Low Impact: 5,Oncorhynchus mykiss
122904093,8.1.2,Named species (Perca fluviatilis),Future,Majority (50-90%),Rapid Declines,Low Impact: 5,Perca fluviatilis
122904093,8.1.2,Named species (Salmo trutta),Ongoing,Whole (>90%),Causing/Could cause fluctuations,Medium Impact: 7,Salmo trutta
122904106,7.2,Dams & water management/use,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,
122904106,7.2.2,Abstraction of surface water (commercial use),Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,
122904106,8.1,Invasive non-native/alien species/diseases (Oncorhynchus mykiss),Ongoing,Whole (>90%),Negligible declines,Medium Impact: 6,Oncorhynchus mykiss
122904106,8.1,Invasive non-native/alien species/diseases (Perca fluviatilis),Future,Majority (50-90%),Rapid Declines,Low Impact: 5,Perca fluviatilis
122904106,8.1,Invasive non-native/alien species/diseases (Salmo trutta),Ongoing,Whole (>90%),Causing/Could cause fluctuations,Medium Impact: 7,Salmo trutta
122904106,8.1.2,Named species (Oncorhynchus mykiss),Ongoing,Whole (>90%),Negligible declines,Medium Impact: 6,Oncorhynchus mykiss
122904106,8.1.2,Named species (Perca fluviatilis),Future,Majority (50-90%),Rapid Declines,Low Impact: 5,Perca fluviatilis
122904106,8.1.2,Named species (Salmo trutta),Ongoing,Whole (>90%),Causing/Could cause fluctuations,Medium Impact: 7,Salmo trutta
122904234,11.2,Droughts,Ongoing,,,Low Impact: 3,
122904234,11.3,Temperature extremes,Ongoing,,,Low Impact: 3,
122904234,7.1,Fire & fire suppression,Ongoing,,,Low Impact: 3,
122904234,7.1.1,Increase in fire frequency/intensity,Ongoing,,,Low Impact: 3,
122904234,7.2,Dams & water management/use,Ongoing,,,Low Impact: 3,
122904234,7.2.11,Dams (size unknown),Ongoing,,,Low Impact: 3,
122904234,7.2.2,Abstraction of surface water (commercial use),Ongoing,,,Low Impact: 3,
122904234,8.1,Invasive non-native/alien species/diseases (Salmo trutta),Ongoing,,,Low Impact: 3,Salmo trutta
122904234,8.1.2,Named species (Salmo trutta),Ongoing,,,Low Impact: 3,Salmo trutta
