code,habitat,suitability,season,majorimportance,taxonid_iucn
13.3,Marine Coastal/Supratidal - Coastal Sand Dunes,Suitable,Resident,Yes,196581
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,196585
5.9,Wetlands (inland) - Freshwater Springs and Oases,Suitable,,Yes,11576
1.5,Forest - Subtropical/Tropical Dry,Suitable,Resident,Yes,136843
1.5,Forest - Subtropical/Tropical Dry,Suitable,Resident,Yes,136771
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,136771
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,16971489
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,136491
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,136491
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,136622
1.5,Forest - Subtropical/Tropical Dry,Suitable,Resident,Yes,11621
14.3,Artificial/Terrestrial - Plantations,Marginal,,,136645
1.5,Forest - Subtropical/Tropical Dry,Suitable,Resident,Yes,136645
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,136645
1.5,Forest - Subtropical/Tropical Dry,Suitable,Resident,Yes,11622
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,136709
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,73727195
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Breeding Season,Yes,73727195
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,79681353
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes,79681353
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,57546
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes,57546
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,149685315
5.2,Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks,Suitable,Resident,Yes,149685315
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,79076234
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes,79076234
14.2,Artificial/Terrestrial - Pastureland,Suitable,,,54427
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,,Yes,54427
4.7,Grassland - Subtropical/Tropical High Altitude,Suitable,,Yes,54427
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Unknown,,,54427
5.9,Wetlands (inland) - Freshwater Springs and Oases,Suitable,,Yes,54427
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,54432
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes,54432
5.9,Wetlands (inland) - Freshwater Springs and Oases,Suitable,Resident,Yes,54432
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,,54440
5.9,Wetlands (inland) - Freshwater Springs and Oases,Suitable,Resident,,54440
14.3,Artificial/Terrestrial - Plantations,Suitable,Resident,,57125
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,57125
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,57143
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes,57143
5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Suitable,Resident,Yes,57143
5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Suitable,Resident,Yes,57143
14.2,Artificial/Terrestrial - Pastureland,Marginal,Resident,,57166
15.2,Artificial/Aquatic - Ponds (below 8ha),Suitable,Resident,,57166
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,57166
5.2,Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks,Suitable,Resident,Yes,57166
11.6,Marine Deep Benthic - Deep Sea Vents (Rifts/Seeps),Suitable,Resident,Yes,157732028
5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Suitable,,Yes,197676
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,138045255
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes,138045255
5.2,Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks,Suitable,Resident,Yes,138045255
1.4,Forest - Temperate,Suitable,Resident,Yes,44698567
1.5,Forest - Subtropical/Tropical Dry,Suitable,Resident,Yes,22690874
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,Yes,11783
1.5,Forest - Subtropical/Tropical Dry,Suitable,Resident,,11804
13.3,Marine Coastal/Supratidal - Coastal Sand Dunes,Suitable,Resident,Yes,109476951
3.5,Shrubland - Subtropical/Tropical Dry,Suitable,Resident,,109476951
1.5,Forest - Subtropical/Tropical Dry,Suitable,Resident,Yes,11805
12.1,Marine Intertidal - Rocky Shoreline,Suitable,Breeding Season,Yes,22696861
12.6,Marine Intertidal - Tidepools,Suitable,Breeding Season,Yes,22696861
13.1,Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands,Suitable,Breeding Season,Yes,22696861
9.1,Marine Neritic - Pelagic,Suitable,Resident,No,22696861
9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,Suitable,Resident,Yes,22696861
9.3,Marine Neritic - Subtidal Loose Rock/pebble/gravel,Suitable,Resident,Yes,22696861
9.4,Marine Neritic - Subtidal Sandy,Suitable,Resident,Yes,22696861
9.5,Marine Neritic - Subtidal Sandy-Mud,Suitable,Resident,Yes,22696861
9.7,Marine Neritic - Macroalgal/Kelp,Suitable,Resident,Yes,22696861
9.9,Marine Neritic - Seagrass (Submerged),Suitable,Resident,Yes,22696861
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,,,40761
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,,40761
14.1,Artificial/Terrestrial - Arable Land,Suitable,Non-Breeding Season,Yes,22692053
4.1,Grassland - Tundra,Suitable,Breeding Season,Yes,22692053
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Breeding Season,No,22692053
5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Suitable,Breeding Season,Yes,22692053
5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Suitable,Non-Breeding Season,Yes,22692053
5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Suitable,Breeding Season,No,22692053
5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Suitable,Non-Breeding Season,No,22692053
5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Suitable,Breeding Season,No,22692053
5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Suitable,Non-Breeding Season,No,22692053
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,22721873
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,22721873
14.3,Artificial/Terrestrial - Plantations,Unknown,Resident,No,22710912
1.5,Forest - Subtropical/Tropical Dry,Suitable,Resident,Yes,22710912
2.1,Savanna - Dry,Suitable,Resident,Yes,22710912
3.5,Shrubland - Subtropical/Tropical Dry,Suitable,Breeding Season,No,22710912
11.1,"Marine Deep Benthic - Continental Slope/Bathyl Zone (200-4,000m)",,,,61405
11.1.1,Hard Substrate,Suitable,Resident,Yes,61405
11.1.2,Soft Substrate,Suitable,Resident,Yes,61405
9.3,Marine Neritic - Subtidal Loose Rock/pebble/gravel,Marginal,Resident,,61405
9.4,Marine Neritic - Subtidal Sandy,Marginal,Resident,,61405
5.6,Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha),Suitable,,,11928
5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Suitable,,,11928
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,,134632
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,,,134522
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,,134522
5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Suitable,Resident,Yes,125979703
5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Suitable,Resident,Yes,125979710
5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Suitable,Resident,Yes,125979756
5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Suitable,Resident,Yes,125979839
5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Suitable,Resident,Yes,177038422
5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Suitable,Resident,Yes,177038449
5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Suitable,Resident,Yes,125980030
5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Suitable,Resident,Yes,125980226
5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Suitable,Resident,Yes,125980547
12.7,Marine Intertidal - Mangrove Submerged Roots,Suitable,Resident,Yes,125981340
5.16,"Wetlands (inland) - Permanent Saline, Brackish or Alkaline Marshes/Pools",Suitable,Resident,Yes,125981340
5.9,Wetlands (inland) - Freshwater Springs and Oases,Suitable,Resident,Yes,125981966
7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,Suitable,Resident,Yes,170872
7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,Suitable,Resident,Yes,171111
15.2,Artificial/Aquatic - Ponds (below 8ha),Suitable,Resident,Yes,98562533
14.6,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,Suitable,Resident,No,22734628
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,22734628
3.7,Shrubland - Subtropical/Tropical High Altitude,Suitable,Resident,Yes,22734628
1.5,Forest - Subtropical/Tropical Dry,Suitable,Resident,Yes,50956547
2.2,Savanna - Moist,Suitable,Resident,Yes,56051196
1.5,Forest - Subtropical/Tropical Dry,Suitable,Resident,,169713
3.7,Shrubland - Subtropical/Tropical High Altitude,Suitable,Resident,,11996
6,"Rocky areas (eg. inland cliffs, mountain peaks)",Suitable,Resident,Yes,11996
3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Suitable,,,56052426
8.2,Desert - Temperate,Suitable,,,56052426
12.2,"Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc",Unknown,Resident,,12006
13.3,Marine Coastal/Supratidal - Coastal Sand Dunes,Unknown,Resident,,12006
3.5,Shrubland - Subtropical/Tropical Dry,Suitable,Resident,,12006
3.7,Shrubland - Subtropical/Tropical High Altitude,Suitable,Resident,Yes,12008
8.1,Desert - Hot,Suitable,,,12009
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,,Yes,196187
1.6,Forest - Subtropical/Tropical Moist Lowland,Marginal,,,176145
