taxonid_iucn,code,habitat,suitability,season,majorimportance
196320,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Suitable,,Yes
8808,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,
8808,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Suitable,,
8813,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes
107625428,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes
107626507,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes
107626648,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes
107626977,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes
122903260,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,
8821,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,
8821,5.2,Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks,Suitable,,
8821,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Suitable,,
8819,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,
8819,5.2,Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks,Suitable,,
8819,5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Suitable,Resident,Yes
8820,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,
8820,5.2,Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks,Suitable,,
8820,5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Suitable,,
8820,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Suitable,,
8820,5.6,Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha),Suitable,,
8820,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Suitable,,
8820,5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Suitable,,
8826,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,Yes
8834,1.5,Forest - Subtropical/Tropical Dry,Suitable,,
8834,3.5,Shrubland - Subtropical/Tropical Dry,Suitable,,
196181,1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,,
40690,3.4,Shrubland - Temperate,Suitable,,
40690,4.4,Grassland - Temperate,Suitable,,
8894,5.16,"Wetlands (inland) - Permanent Saline, Brackish or Alkaline Marshes/Pools",Suitable,Resident,Yes
8894,5.17,"Wetlands (inland) - Seasonal/Intermittent Saline, Brackish or Alkaline Marshes/Pools",Suitable,Resident,Yes
8894,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Suitable,Resident,Yes
8894,5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Suitable,Resident,Yes
8895,5.9,Wetlands (inland) - Freshwater Springs and Oases,Suitable,,Yes
125961752,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes
125961752,5.9,Wetlands (inland) - Freshwater Springs and Oases,Suitable,Resident,Yes
125962361,12.7,Marine Intertidal - Mangrove Submerged Roots,Suitable,Resident,Yes
125962361,5.16,"Wetlands (inland) - Permanent Saline, Brackish or Alkaline Marshes/Pools",Suitable,Resident,Yes
125962361,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Suitable,Resident,Yes
8917,5.18,Wetlands (inland) - Karst and Other Subterranean Hydrological Systems (inland),Suitable,,
60335,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes
60335,5.9,Wetlands (inland) - Freshwater Springs and Oases,Suitable,Resident,Yes
169624,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,Yes
172369,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,Yes
9889,5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Suitable,,
9889,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Suitable,,
22569,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes
22569,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Suitable,Resident,Yes
22569,5.9,Wetlands (inland) - Freshwater Springs and Oases,Suitable,Resident,Yes
203417,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Unknown,,
203417,5.2,Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks,Unknown,,
203417,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Unknown,,
203417,5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Unknown,,
203417,5.9,Wetlands (inland) - Freshwater Springs and Oases,Unknown,,
203418,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,
203418,5.2,Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks,Unknown,,
203418,5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Unknown,,
203418,5.9,Wetlands (inland) - Freshwater Springs and Oases,Suitable,,
172510,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,Yes
128722497,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,
22734448,1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,No
22734448,1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes
55325,14.4,Artificial/Terrestrial - Rural Gardens,Marginal,Resident,
55325,14.6,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,Marginal,Resident,
55325,1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes
55325,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes
55325,5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Suitable,Breeding Season,Yes
55328,1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes
55328,5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Suitable,Resident,Yes
55328,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Suitable,Resident,Yes
55329,1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,,
55329,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Marginal,,
55330,1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes
55330,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Marginal,Resident,
55332,1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,
55332,3.7,Shrubland - Subtropical/Tropical High Altitude,Suitable,Resident,
55332,4.7,Grassland - Subtropical/Tropical High Altitude,Marginal,Resident,
55332,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes
55332,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Suitable,Resident,Yes
55332,5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Suitable,Resident,Yes
55336,1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes
55336,4.7,Grassland - Subtropical/Tropical High Altitude,Suitable,Resident,Yes
55336,5.2,Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks,Suitable,Breeding Season,Yes
55336,5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Suitable,Breeding Season,Yes
55339,14.6,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,Marginal,Resident,
55339,1.9,Forest - Subtropical/Tropical Moist Montane,Marginal,Resident,
55339,3.7,Shrubland - Subtropical/Tropical High Altitude,Suitable,Resident,Yes
55339,4.7,Grassland - Subtropical/Tropical High Altitude,Suitable,Resident,Yes
55342,3.7,Shrubland - Subtropical/Tropical High Altitude,Suitable,Resident,Yes
55342,4.7,Grassland - Subtropical/Tropical High Altitude,Suitable,Resident,Yes
55342,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes
55342,5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Suitable,Resident,Yes
78500940,1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes
78500940,3.7,Shrubland - Subtropical/Tropical High Altitude,Suitable,Resident,Yes
55348,3.7,Shrubland - Subtropical/Tropical High Altitude,Suitable,Resident,Yes
55348,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Suitable,Resident,Yes
112688840,1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes
112688840,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Suitable,Resident,Yes
55351,1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes
55351,4.7,Grassland - Subtropical/Tropical High Altitude,Suitable,Resident,Yes
55355,1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes
55355,3.7,Shrubland - Subtropical/Tropical High Altitude,Suitable,Resident,Yes
55356,1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes
55357,14.1,Artificial/Terrestrial - Arable Land,Suitable,,
55357,14.4,Artificial/Terrestrial - Rural Gardens,Suitable,,
55357,14.5,Artificial/Terrestrial - Urban Areas,Suitable,,
55357,14.6,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,Suitable,,
55357,15.2,Artificial/Aquatic - Ponds (below 8ha),Suitable,,
